ED, 49, 192
DS, 43, 146
CC, 72, 170
LO, 70, 181
SD, 81, 155
IB, 92, 197
IM, 97, 149
XJ, 57, 182
AL, 88, 180
SO, 49, 161
EH, 42, 176
RV, 86, 164
ZL, 77, 168
NJ, 40, 143
UV, 57, 159
TP, 58, 173
CX, 68, 151
MK, 54, 183
QG, 72, 158
FJ, 63, 143
UQ, 44, 189
SJ, 80, 141
PS, 81, 193
WK, 77, 173
CA, 75, 195
TP, 54, 153
WW, 95, 165
EE, 44, 198
OT, 45, 145
VE, 68, 158
OK, 61, 151
LK, 46, 197
GX, 50, 141
IY, 57, 173
FM, 80, 144
WR, 54, 186
UN, 53, 160
UH, 94, 156
RM, 94, 161
VC, 77, 180
ZB, 41, 143
MD, 64, 158
OX, 40, 162
PF, 43, 190
HN, 43, 170
LL, 46, 182
IO, 62, 178
PJ, 58, 174
JI, 64, 192
CO, 70, 156
TQ, 91, 169
BC, 87, 154
LP, 62, 150
XA, 43, 186
XI, 61, 182
XE, 78, 184
MU, 55, 179
XH, 49, 192
IR, 54, 169
UP, 55, 144
RJ, 46, 186
SX, 68, 142
NB, 67, 178
WL, 91, 190
TR, 95, 165
TP, 91, 193
TT, 52, 165
ML, 98, 149
SS, 64, 171
TH, 42, 166
FR, 57, 172
XZ, 64, 196
WA, 94, 163
JI, 47, 158
IT, 48, 142
LY, 71, 163
HY, 91, 168
IQ, 90, 190
LW, 72, 147
NT, 60, 179
FD, 59, 169
JO, 75, 143
KO, 98, 173
KU, 86, 163
GS, 82, 169
CB, 89, 148
CU, 61, 191
FQ, 92, 190
YT, 60, 160
UD, 43, 169
NT, 66, 179
LP, 41, 191
SP, 48, 160
JP, 99, 160
XE, 82, 156
LX, 97, 147
VW, 96, 186
GA, 73, 147
FV, 69, 156
IL, 78, 185
OL, 50, 180
BV, 42, 150
LL, 49, 153
RW, 44, 140
NY, 80, 178
DW, 71, 163
JW, 85, 145
DH, 95, 183
EU, 80, 142
PY, 98, 166
ZG, 94, 165
SD, 81, 198
YO, 79, 148
VM, 82, 163
MX, 67, 198
VS, 66, 189
DJ, 64, 168
OJ, 67, 175
RN, 59, 168
TH, 72, 199
ZK, 75, 190
DM, 75, 168
NY, 71, 189
RS, 69, 158
JP, 65, 153
SM, 76, 146
HF, 46, 163
WT, 53, 197
ZS, 99, 199
QI, 92, 168
IN, 42, 186
XC, 98, 140
RF, 63, 180
QW, 77, 173
VH, 75, 186
DY, 97, 141
HE, 77, 189
RV, 50, 142
OC, 64, 178
UB, 59, 185
HS, 97, 161
PD, 56, 162
ZH, 92, 163
FX, 88, 184
UP, 85, 164
UJ, 53, 165
IT, 42, 195
VH, 74, 199
UM, 78, 186
DS, 96, 168
HI, 86, 170
VS, 78, 175
FV, 70, 174
GW, 59, 149
YU, 50, 161
MB, 95, 199
HY, 96, 187
HQ, 88, 168
XJ, 82, 181
JO, 60, 179
VN, 50, 172
UZ, 53, 177
LN, 63, 176
VI, 53, 140
ND, 71, 170
YB, 42, 191
YH, 41, 152
OP, 50, 145
MI, 77, 169
BK, 43, 198
PI, 43, 158
BV, 75, 160
VV, 57, 171
LP, 61, 158
NO, 93, 164
XR, 50, 143
AA, 60, 167
AG, 95, 194
BZ, 95, 170
ND, 90, 165
AN, 85, 142
VP, 70, 175
JL, 89, 144
QD, 55, 146
SK, 66, 169
FG, 69, 174
QQ, 71, 143
FQ, 86, 169
QO, 72, 150
IP, 57, 153
WP, 91, 143
XT, 98, 159
ZU, 89, 165
NL, 59, 174
UT, 58, 185
OO, 41, 188
AT, 44, 153
AA, 44, 155
OE, 42, 185
QP, 57, 178
UB, 77, 171
NF, 62, 146
WV, 49, 161
XG, 54, 148
DP, 60, 141
ZX, 61, 196
AX, 65, 171
SR, 52, 190
WT, 69, 187
DT, 81, 155
WU, 45, 149
VB, 47, 188
MI, 54, 159
PE, 55, 155
HN, 90, 160
CJ, 65, 199
IH, 54, 183
ZM, 63, 178
YH, 73, 185
LO, 55, 152
IZ, 82, 180
LX, 73, 189
UX, 72, 149
AC, 42, 199
KH, 72, 171
DG, 63, 172
HE, 63, 172
FW, 44, 148
BC, 85, 158
VZ, 78, 198
IU, 66, 184
TB, 79, 146
MM, 92, 163
OW, 79, 178
MY, 50, 188
JK, 56, 154
PN, 47, 148
DS, 90, 186
DR, 65, 165
HH, 90, 160
JB, 79, 162
GX, 73, 164
CR, 82, 162
ML, 79, 168
SI, 59, 143
ZI, 78, 172
VW, 44, 177
HI, 48, 179
VE, 88, 167
DG, 77, 147
RI, 52, 168
CU, 56, 159
RK, 89, 171
WG, 70, 158
ZG, 84, 183
AR, 87, 148
CC, 66, 178
DX, 69, 193
WI, 52, 183
QE, 41, 180
MP, 75, 167
WG, 57, 157
HL, 95, 167
MO, 80, 142
DJ, 71, 187
VC, 75, 141
CX, 49, 167
QD, 55, 175
PA, 98, 148
ZK, 69, 141
KI, 58, 198
IC, 74, 194
HO, 87, 191
AU, 94, 140
LO, 79, 185
EP, 89, 168
SF, 89, 179
GD, 59, 147
VB, 56, 190
NR, 59, 161
FZ, 55, 172
NI, 65, 167
FJ, 81, 196
BG, 87, 166
WJ, 57, 180
YB, 57, 178
GM, 49, 148
UL, 99, 144
BP, 81, 196
QR, 62, 149
OF, 43, 198
ZR, 48, 179
VG, 51, 165
OM, 83, 144
HL, 42, 156
VC, 69, 176
ER, 50, 180
YN, 90, 164
WD, 43, 147
NQ, 64, 172
OD, 40, 196
JE, 54, 142
SM, 55, 180
XY, 74, 162
KF, 82, 148
RV, 80, 172
PQ, 96, 163
PM, 79, 158
VZ, 81, 143
AA, 70, 142
WM, 70, 159
VE, 94, 186
WJ, 88, 155
EB, 43, 186
HC, 71, 188
FA, 82, 198
PM, 73, 156
PZ, 49, 178
MM, 85, 171
ZG, 92, 195
BY, 55, 151
GN, 59, 170
LW, 70, 154
FQ, 69, 162
NH, 60, 195
VH, 70, 173
FY, 85, 162
ZU, 50, 146
OU, 44, 183
RY, 60, 171
II, 78, 167
TT, 44, 141
MI, 58, 158
SX, 63, 191
CV, 67, 173
AJ, 71, 174
AQ, 59, 144
ZY, 71, 142
MK, 58, 158
MN, 83, 199
AY, 65, 177
HB, 44, 185
VC, 65, 142
XN, 80, 190
GM, 79, 140
OR, 66, 175
CQ, 75, 174
TM, 99, 141
MM, 45, 180
AA, 85, 149
DD, 65, 196
OE, 72, 186
JI, 67, 169
BX, 47, 181
JU, 79, 199
FS, 51, 194
YG, 47, 157
KH, 97, 177
YC, 75, 161
IK, 49, 173
NM, 73, 180
IV, 91, 171
VB, 96, 191
AB, 64, 170
MR, 65, 173
OC, 52, 157
CH, 42, 193
WH, 74, 158
UK, 49, 187
TL, 65, 144
EQ, 43, 182
KH, 54, 195
TV, 82, 144
UG, 56, 169
DL, 71, 154
RF, 49, 149
ZL, 61, 180
BK, 97, 140
UN, 85, 196
JM, 70, 185
AR, 40, 153
XG, 41, 194
UU, 59, 165
TU, 80, 145
UV, 90, 165
CC, 72, 172
SA, 54, 167
KJ, 50, 146
EN, 48, 171
GL, 52, 161
JI, 54, 157
ES, 92, 198
HU, 94, 175
KY, 70, 147
BK, 61, 148
YA, 98, 148
OI, 96, 173
LR, 50, 159
PG, 68, 164
GL, 81, 172
VE, 40, 158
YT, 86, 189
EE, 90, 193
PS, 41, 150
MS, 52, 188
ZW, 99, 183
CB, 41, 150
NG, 51, 199
VP, 71, 171
TJ, 99, 157
XD, 69, 161
GH, 78, 187
WO, 46, 173
EY, 67, 193
JT, 82, 170
EW, 83, 157
TA, 74, 186
LE, 85, 195
RD, 90, 150
UB, 92, 171
JI, 41, 145
AP, 41, 179
BD, 75, 166
XP, 44, 147
QZ, 55, 169
KW, 99, 198
FD, 95, 187
LH, 99, 159
YI, 52, 195
JT, 65, 199
UL, 85, 173
PL, 79, 173
IS, 96, 174
QC, 56, 191
CJ, 94, 140
UE, 63, 192
EQ, 65, 178
WI, 97, 168
MW, 55, 155
LI, 95, 174
UJ, 67, 194
KP, 86, 140
QJ, 59, 146
LA, 83, 199
YC, 97, 142
BI, 81, 181
CX, 60, 181
UT, 46, 142
ZR, 79, 142
KP, 65, 192
VF, 47, 150
QM, 91, 194
NZ, 88, 180
FM, 46, 165
KI, 62, 151
EJ, 74, 142
FZ, 97, 195
XV, 96, 162
RY, 77, 162
OL, 69, 173
YX, 47, 197
BN, 40, 144
KS, 67, 195
HE, 80, 184
KG, 51, 192
YI, 82, 158
GK, 78, 189
EJ, 99, 149
JV, 45, 164
WP, 44, 143
MQ, 84, 171
WR, 56, 196
DP, 89, 150
GG, 89, 149
DJ, 50, 152
YH, 40, 154
BG, 83, 180
UL, 91, 144
LT, 99, 148
US, 48, 170
LS, 61, 171
GJ, 41, 189
OA, 73, 191
WD, 70, 176
DX, 60, 156
SD, 57, 154
NV, 75, 140
VF, 73, 153
ZR, 78, 192
JA, 57, 176
KB, 56, 163
XM, 57, 192
YX, 89, 144
LK, 66, 195
GR, 77, 140
LN, 67, 180
PM, 68, 168
JK, 94, 188
FB, 78, 140
AV, 88, 171
YG, 47, 183
YZ, 60, 178
VE, 40, 177
ML, 74, 187
VR, 57, 194
ZD, 74, 179
ML, 71, 162
ZX, 53, 175
OX, 58, 176
KQ, 83, 160
VF, 53, 169
OR, 48, 189
GI, 80, 175
EQ, 81, 142
IQ, 59, 161
YJ, 79, 170
VQ, 85, 188
TP, 79, 182
LS, 90, 193
DY, 46, 165
JL, 87, 182
QD, 80, 146
WT, 60, 158
PU, 86, 160
BU, 79, 189
GB, 54, 183
BP, 72, 184
YT, 65, 160
BV, 81, 178
QP, 82, 186
XS, 73, 146
IU, 89, 168
ZM, 70, 181
KP, 70, 176
DZ, 97, 193
UT, 93, 152
TX, 56, 149
CM, 71, 180
NZ, 92, 168
UU, 86, 169
FV, 65, 181
QR, 64, 196
PE, 64, 196
AS, 40, 168
YM, 77, 195
OS, 76, 192
EO, 84, 173
QY, 53, 196
RM, 63, 166
UH, 73, 174
VN, 83, 169
QX, 92, 153
MX, 96, 183
NZ, 77, 177
AW, 52, 197
WV, 87, 182
JF, 91, 199
SR, 74, 162
TD, 82, 176
UA, 61, 145
KK, 43, 164
BM, 82, 168
QD, 51, 177
MC, 45, 189
DG, 80, 175
VC, 79, 178
AY, 41, 151
MZ, 85, 144
DM, 62, 185
ZO, 89, 143
JC, 47, 199
RY, 85, 189
FC, 68, 175
OP, 45, 142
PP, 84, 178
GN, 61, 189
EH, 88, 199
XK, 64, 159
OW, 60, 187
ZI, 82, 179
BZ, 56, 187
CU, 87, 153
DQ, 45, 141
CO, 89, 176
WA, 50, 181
GO, 47, 174
GE, 89, 192
QL, 93, 151
NE, 49, 166
IM, 55, 179
HZ, 85, 189
BT, 87, 160
DM, 57, 187
XT, 43, 163
EO, 79, 193
RO, 44, 161
OO, 45, 174
ZS, 89, 176
VP, 63, 190
TU, 58, 164
GQ, 80, 166
AS, 54, 178
IQ, 74, 156
RH, 63, 195
OB, 85, 195
SS, 61, 182
FO, 87, 176
HT, 93, 174
QS, 43, 196
CV, 43, 176
GZ, 52, 143
KZ, 50, 146
VK, 71, 194
OR, 56, 172
ME, 69, 162
IE, 89, 161
IU, 66, 148
PW, 75, 165
JS, 50, 192
VJ, 87, 198
TZ, 53, 145
GY, 46, 145
JO, 67, 187
KY, 68, 167
EN, 46, 180
FD, 60, 143
EK, 59, 173
UI, 92, 175
QM, 96, 194
EB, 95, 156
ML, 64, 179
VR, 59, 191
YT, 45, 184
OI, 40, 190
AY, 73, 150
QV, 65, 173
RZ, 46, 167
PD, 64, 161
EA, 67, 186
YC, 64, 150
SE, 54, 199
JR, 63, 141
CA, 54, 183
RB, 71, 180
WG, 94, 167
ZB, 95, 198
NE, 65, 195
RD, 54, 153
AX, 44, 165
FC, 71, 154
PJ, 88, 140
TP, 58, 161
WI, 53, 143
HL, 78, 157
WV, 75, 193
VI, 62, 152
YB, 50, 169
XH, 96, 144
CQ, 67, 185
ZL, 77, 164
SD, 62, 161
TU, 94, 175
PG, 41, 160
SR, 78, 172
EL, 55, 194
UU, 46, 181
HZ, 67, 165
EA, 43, 165
HZ, 68, 178
BX, 55, 144
QC, 80, 162
JM, 86, 151
MM, 79, 182
OB, 98, 183
BJ, 97, 180
FU, 67, 160
DD, 83, 180
FS, 91, 181
EH, 78, 188
BF, 86, 186
PM, 82, 164
RV, 91, 196
VK, 96, 168
SP, 74, 195
RQ, 73, 175
TD, 99, 192
NP, 42, 174
KS, 76, 167
RK, 96, 196
YE, 50, 193
TU, 78, 151
VE, 91, 155
SE, 75, 175
DP, 80, 166
OG, 86, 198
ZY, 92, 145
UX, 95, 146
PE, 45, 141
PA, 50, 160
AZ, 70, 199
YN, 40, 175
VB, 78, 183
UO, 91, 182
RA, 79, 199
AP, 95, 171
NQ, 89, 169
XS, 78, 143
JE, 57, 145
ZF, 79, 165
BO, 86, 187
JC, 69, 140
KQ, 57, 182
QU, 79, 196
CI, 65, 184
NG, 93, 197
JT, 85, 178
EV, 40, 161
KK, 67, 197
WY, 51, 194
NK, 76, 198
EY, 85, 187
NN, 74, 173
EB, 60, 157
CP, 63, 166
AZ, 49, 185
VW, 92, 163
TG, 49, 171
DY, 73, 179
GD, 60, 151
TS, 67, 150
LT, 59, 198
VO, 89, 165
CT, 45, 142
TT, 81, 193
WT, 90, 155
YD, 73, 151
BW, 58, 150
VK, 91, 198
IN, 80, 144
UA, 49, 195
CD, 95, 159
RP, 84, 189
HQ, 92, 141
MC, 49, 180
PH, 65, 160
QY, 60, 190
EQ, 72, 186
CN, 56, 167
LB, 78, 184
LI, 81, 147
OZ, 61, 157
RI, 47, 165
PI, 65, 162
UN, 51, 147
UD, 53, 181
QM, 90, 164
IG, 80, 143
IS, 67, 181
UQ, 48, 149
QC, 72, 158
ZK, 44, 166
EE, 41, 170
RI, 96, 196
CY, 45, 164
EV, 77, 146
OC, 93, 157
WV, 73, 198
XL, 65, 161
XF, 45, 175
RF, 77, 156
QU, 64, 174
JN, 93, 175
XV, 74, 186
ER, 54, 149
TQ, 71, 146
PG, 95, 175
GE, 68, 161
UC, 88, 159
XU, 68, 149
TI, 68, 172
EP, 60, 156
KM, 68, 145
VK, 48, 177
JK, 50, 158
OL, 80, 148
TY, 40, 173
JD, 97, 168
HQ, 62, 190
FD, 90, 188
GD, 98, 157
KC, 42, 158
VO, 67, 151
ON, 81, 183
HX, 87, 154
YX, 50, 173
KU, 55, 144
KW, 61, 146
JC, 49, 197
WY, 99, 199
CR, 95, 158
SY, 40, 186
JX, 78, 176
PG, 85, 147
MW, 49, 198
DE, 40, 163
OH, 93, 184
SE, 72, 169
XN, 80, 143
TS, 49, 189
RB, 58, 180
YS, 50, 165
TG, 76, 186
AT, 47, 196
ON, 61, 152
RO, 69, 145
PR, 53, 173
IK, 47, 158
HF, 70, 185
GK, 63, 152
DS, 60, 154
FN, 87, 189
YM, 57, 165
RZ, 88, 190
GG, 40, 148
YX, 68, 198
SI, 41, 151
AG, 53, 198
GS, 60, 141
LF, 70, 158
YJ, 41, 184
OJ, 76, 151
NV, 73, 160
PN, 55, 157
VS, 61, 170
EO, 96, 181
YW, 45, 153
DY, 41, 167
SJ, 97, 172
HP, 75, 157
ZF, 71, 186
MZ, 71, 193
TA, 47, 185
FY, 99, 173
NY, 94, 189
CL, 55, 165
ZJ, 47, 164
QX, 43, 148
HM, 88, 171
KQ, 74, 196
XP, 66, 141
WD, 71, 189
GR, 82, 199
HZ, 67, 166
DU, 98, 143
XK, 69, 187
LO, 79, 149
WC, 48, 155
GS, 74, 165
VM, 98, 142
KE, 65, 188
MD, 55, 161
IK, 52, 194
QE, 85, 180
XJ, 78, 193
HE, 91, 164
QE, 97, 152
MS, 65, 193
CF, 79, 154
QY, 83, 176
FR, 66, 190
FX, 83, 155
US, 41, 148
ZT, 59, 149
JW, 56, 193
DM, 61, 158
RM, 69, 187
DB, 58, 173
UH, 66, 196
UQ, 99, 162
DD, 71, 145
MK, 41, 168
DD, 90, 166
QQ, 61, 159
PK, 95, 187
ZX, 40, 153
US, 64, 153
SZ, 52, 164
KL, 51, 181
YO, 99, 187
JZ, 57, 152
